search,headers,instruction,method_type
pwc.greatest,usage basic usage,- method 4: download pre-built binary from [releases](https://github.com/ggerganov/llama.cpp/releases),other
acm.icse,how to run,"requirements: jdk>=17

download the ""xxx-jar-with-dependency.jar"" from: https://github.com/feifeiniu-se/rat_demo/releases/tag/release-v1.0.0

rat is command line tool so far, it supports three types of commands:

```
> -a <git-repo-folder> -s <sqlite-file-path> # detects all code history

> -bc <git-repo-folder> <start-commit-sha1> <end-commit-sha1> -s",other
acm.icse,how to run,"<sqlite-file-path> # detects code history between start commit and end commit

> -c <git-repo-folder> <commit-sha1> -s <sqlite-file-path> #detects code history between last commit and this commit
```
""&lt; git-repo-folder &gt;"" defines the path of the local repository, ""&lt; sqlite-file-path &gt;"" indicates the path for saving the sqlite database. tip: sqlite is a lightweight database, which requires no server, users can read the data with python, or other interfaces.",other
acm.icse,how to run,"for future we may support ides, chrome extension...



example for how to use in command _

```
> java -jar traceabilitymodel-1.0-snapshot-jar-with-dependencies.jar -bc c:\dataset\maven 698119ea0be74b3733fdcf49997a6bf46f160950 a15c47e27076ebfe87f4df881fe9173a7887ae50 -s d:\\tool\\database\\maven.sqlite3

> java -jar traceabilitymodel-1.0-snapshot-jar-with-dependencies.jar -bc c:\dataset\jitfine\ant-ivy 929363e121230286922d1ec3aaee21b2defba5b6 dbdf9d6c0534733bf98e14de914a337e133f0123 -s",other
acm.icse,how to run,"d:\\tool\\database\\ant-ivy.sqlite3

> java -jar traceabilitymodel-1.0-snapshot-jar-with-dependencies.jar -a c:\dataset\maven -s d:\\tool\\database\\maven.sqlite3

> java -jar traceabilitymodel-1.0-snapshot-jar-with-dependencies.jar -c c:\dataset\jitfine\archiva 8e757bd2a0faec0732b512ea1d4df1e082aea6ff -s d:\\tool\\database\\archiva.sqlite3
```

you can replace the path of git repository, start hash code, end hash code and the path of sqlite file.",other
acm.icse,how to run,"the following are the github urls in the example_

https://github.com/apache/ant-ivy

https://github.com/apache/maven

https://github.com/apache/archiva",other
bio.tools.updated.latest,binary,"**installation**

# ## binary 

statically linked binaries (intel compiler 21.3.0) can be found at the [latest release page](https://github.com/qcxms/qcxms/releases/latest). untar the zipped archive:

```bash
tar -xvzf qcxms.vx.x.tar.xz
```

the following files are being extracted: `qcxms` `pqcxms` `q-batch` `getres` `.xtbparam` `example`

place the executables into your ``$home/bin/`` directory or path.",other
bio.tools.updated.latest,binary,place the `.xtbparam` folder and `.mass_raw.arg` file into your `$home` directory (these files can appear to be hidden). ### conda [!,other
bio.tools.updated.latest,binary,"[conda version](https://img.shields.io/conda/vn/conda-forge/qcxms.svg)](https://anaconda.org/conda-forge/qcxms)

installing `qcxms` from the `conda-forge` channel can be achieved by adding `conda-forge` to your channels with:

```
conda config --add channels conda-forge
```

once the `conda-forge` channel has been enabled, `qcxms` can be installed with:

```
conda install qcxms
```

it is possible to list all",other
bio.tools.updated.latest,binary,"een enabled, `qcxms` can be installed with:

```
conda install qcxms
```

it is possible to list all of the versions of `qcxms` available on your platform with:

```
conda search qcxms --channel conda-forge
```


### meson

using [meson](https://mesonbuild.com/) as build system requires you to install a fairly new version like 0.57.2 or newer. to use the default backend of meson you have to install [ninja](https://ninja-build.org/) version 1.10 or newer.",other
bio.tools.updated.latest,binary,"```bash
export fc=ifort cc=icc
meson setup build -dfortran_link_args=-static
ninja -c build 
```

this will build a static linked binary in the ``build`` folder. copy the binary from ``build/qcxms`` file into a directory in your path, e.g. ``~/bin/``.",other
pwc.greatest,installation binaries,commands to install binaries via conda or pip wheels are on our website: [https://pytorch.org/get-started/locally/](https://pytorch.org/get-started/locally/),other
acm.ase,build,"we provide a script [bootstrap.sh](vagrants/16.04/bootstrap.sh) to install the dependencies needed, including [llvm](https://llvm.org)'s `clang` (version 7) sources and [svf](https://github.com/svf-tools/svf), to build **trimmer** and run it on the included examples. (**note**: it replaces `~/.bash_profile`. adjust as needed.)",other
acm.ase,build,"the build has been tested on ubuntu 16.04 with python 3.5.2

at its core, the **trimmer** build is effected with:
```
mkdir build
export trimmer_home=<path to top-level of trimmer>
export llvm_compiler=clang
cd build
cmake ../
make
```
   
if your system has unconventional names / locations for llvm utilities, adjust the below environment variables as needed :",other
acm.fse,build,"git clone --recursive git@github.com:invincibleyc/p4b-translator.git
mkdir build
cd build
cmake ..
make -j4
sudo make install",other
acm.ase,build,"the specific method of compiling fastbot's apk file monkey.apk. the compilation of this project depends on gradle, so please install gradle first. since there are many versions of gradle, the compatibility between different versions is different, so it is recommended to use sdkman to download and manage different versions of gradle.",other
