search,id,arxiv_url,topic,arxiv_title,github_URL,Star,has_installation,h1,h2,h3,h4,h5,h6,text,method_type,time_accessed,comments Annotator 1,
arxiv.API,arXiv:2409.00613,arXiv:2409.00613,q-bio.GN,BWT construction and search at the terabase scale,https://github.com/lh3/ropebwt3,75,FALSE,,,,,,,,,,,
arxiv.API,https://arxiv.org/abs/2409.02143,https://arxiv.org/abs/2409.02143,"q-bio.GN, cs.LG","CMOB: Large-Scale Cancer Multi-Omics Benchmark with Open Datasets, Tasks, and Baselines",https://github.com/chenzRG/Cancer-Multi-Omics-Benchmark,1,TRUE,Installations,,,,,,"Here, we provide guidelines for setting up the library. 
```bash
# Set up the environment
conda create -n cmob python=3.9
conda activate 

# Installation
pip install -r requirements.txt
```",source,,,
arxiv.API,arXiv:2409.05484 ,https://arxiv.org/abs/2409.05484,"cs.LG, cs.AI, q-bio.GN, q-bio.QM",CRADLE-VAE: Enhancing Single-Cell Gene Perturbation Modeling with Counterfactual Reasoning-based Artifact Disentanglemen,https://github.com/dmis-lab/CRADLE-VAE,9,TRUE,,,Install environment (Linux),,,,"```
conda env create --file environment.yml
conda activate cradle_vae_env
```
- If you encounter a conflict, run this command: `conda config --set channel_priority disabled`

```
pip install 'rapids-singlecell[rapids11]' --extra-index-url=https://pypi.nvidia.com #CUDA11.X
pip install 'rapids-singlecell[rapids12]' --extra-index-url=https://pypi.nvidia.com #CUDA12
```
- Install `rapids-singlecell` according to your CUDA version",source,,,
arxiv.API,https://arxiv.org/abs/2408.09896,https://arxiv.org/abs/2408.09896, cs.LG physics.chem-ph q-bio.BM , Instruction-Based Molecular Graph Generation with Unified Text-Graph Diffusion Model ,https://github.com/ran1812/utgdiff,5,FALSE,,Environment setup,,,,,"
The basic environment requirement is pytorch, here's an example for environment setup:

```
cd ./text-graph-diffusion/
conda create -n UTGDiff python=3.10
conda activate UTGDiff
conda install pytorch torchvision torchaudio pytorch-cuda=12.1 -c pytorch -c nvidia
pip install -r requirements.txt 
```

All the model checkpoint is saved at https://drive.google.com/drive/folders/18EqQ7MDHesmtiMiZz2o09PyeSwyf0hXb?usp=drive_link",source,,"It has environment setup, but not installation instructions",
arxiv.API,https://arxiv.org/abs/2408.11884,https://arxiv.org/abs/2408.11884,q-bio.NC cs.LG,ST-USleepNet: A Spatial-Temporal Coupling Prominence Network for Multi-Channel Sleep Staging,https://github.com/Majy-Yuji/ST-USleepNet.git,0,TRUE,README,,,,,,"This README provides a step-by-step guide on how to run the model using the `ISRUC-S3` dataset.

1. Run `sh get_ISRUC_S3.sh` to download the data.
2. run `python process_slice.py` to preprocess the data.
3. Run `python src/main.py` to execute the model.",source,,"how to run, instead of how to install",
arxiv.API,https://arxiv.org/abs/2408.05420,https://arxiv.org/abs/2408.05420,q-bio.QM,Facilitating bootstrapped and rarefaction-based microbiome diversity analysis with q2-boots,https://github.com/caporaso-lab/q2-boots,3,TRUE,,,,,,,"To learn how to install, use, or get help with q2-boots, refer to the [q2-boots documentation](https://q2-boots.readthedocs.io/en/latest/).",,,External doc URL: https://q2-boots.readthedocs.io/en/latest/,
arxiv.API,https://arxiv.org/abs/2408.06377,https://arxiv.org/abs/2408.06377,q-bio.GN cs.AI cs.LG,Masked Graph Autoencoders with Contrastive Augmentation for Spatially Resolved Transcriptomics Data,https://github.com/wenwenmin/STMGAC,13,TRUE,,Setup,,,,,-   `pip install -r requirement.txt`,source,,,
arxiv.API,https://arxiv.org/abs/2408.01869,https://arxiv.org/abs/2408.01869, cs.CL cs.AI cs.IR cs.LG cs.MA q-bio.QM ,MALADE: Orchestration of LLM-powered Agents with Retrieval Augmented Generation for Pharmacovigilance,https://github.com/jihyechoi77/malade,8,TRUE,,**__ Set up environment and install dependencies**,,,,,"We leverage the awesome [Langroid](https://github.com/langroid/langroid) 
open-source Python library for multi-agent LLM applications.

IMPORTANT: Please ensure you are using Python 3.11+. If you are using poetry,
you may be able to just run `poetry env use 3.11` if you have Python 3.11 available in your system.

```bash
# clone this repository 
git clone [this-repository]
cd malade
```

Environment setup with conda:
```bash
# create empty environment:
conda env create -n malade python=3.11 -c conda-forge
conda activate malade
```

Setup with venv:
```bash
# create a virtual env under project root, .venv directory
python3 -m venv .venv

# activate the virtual env
. .venv/bin/activate
```

Install dependencies with Poetry:
```bash
# Optionally: poetry lock
poetry install
```",source,,to discuss: setup versus steps on setup environment variables,
arxiv.API,https://arxiv.org/abs/2408.01869,https://arxiv.org/abs/2408.01869, cs.CL cs.AI cs.IR cs.LG cs.MA q-bio.QM ,MALADE: Orchestration of LLM-powered Agents with Retrieval Augmented Generation for Pharmacovigilance,https://github.com/jihyechoi77/malade,8,TRUE,," **__ Set up environment variables (API keys, etc)**",,,,,"To use the example scripts with an OpenAI LLM, you need an OpenAI API Key.
In the root of the repo, copy the `.env-template` file to a new file `.env`:
```bash
cp .env-template .env
```

First, an [OpenAI API key](https://platform.openai.com/docs/quickstart) is required;
save it in the `.env` file as `OPENAI_API_KEY=...` (no quotes).

A Qdrant instance and API key is required (see the [Langroid instructions](https://github.com/langroid/langroid?tab=readme-ov-file#set-up-environment-variables-api-keys-etc)); set up `QDRANT_API_URL` and `QDRANT_API_KEY` in `.env` as described there. 

An OpenFDA API key is also required (get one [here](https://open.fda.gov/apis/authentication/)), set it as 
`OPENFDA_API_KEY=...` in the `.env` file.",source,,to discuss: setup versus steps on setup environment variables,
arxiv.API,https://arxiv.org/abs/2408.01869,https://arxiv.org/abs/2408.01869, cs.CL cs.AI cs.IR cs.LG cs.MA q-bio.QM ,MALADE: Orchestration of LLM-powered Agents with Retrieval Augmented Generation for Pharmacovigilance,https://github.com/jihyechoi77/malade,8,TRUE,,,### **(Optional) Setup for drug representative generation**,,,,"This step is required only to run `DrugFinder` and the process to find
representative drugs in a category based on MIMIC-IV data.

Make sure that MIMIC-IV is installed and running on your machine as PostgreSQL database.
The MIMIC-IV can be obtained [here](https://physionet.org/content/mimiciv/2.2/#files). \
Access requires completing the following training described [here](https://physionet.org/content/mimiciv/view-required-training/2.2/#1). \
Instructions and code for loading MIMIC-IV into PostgreSQL are [here](https://github.com/MIT-LCP/mimic-code/tree/main/mimic-iv/buildmimic/postgres). \
Finally, ensure that your user account has access to the `mimiciv` database.",source,,to discuss: setup versus steps on setup environment variables,
arxiv.API,https://arxiv.org/abs/2408.09344,https://arxiv.org/abs/2408.09344,q-bio.OT,GitHub is an effective platform for collaborative and reproducible laboratory research,https://github.com/rasilab/github_demo,5,FALSE,,,,,,,,,,its not a RS perse,
arxiv.API,https://arxiv.org/abs/2408.14343,https://arxiv.org/abs/2408.14343,cs.CV q-bio.QM,A Brief Analysis of the Iterative Next Boundary Detection Network for Tree Rings Delineation in Images of Pinus taeda,https://github.com/hmarichal93/mlbrief_inbd,1,TRUE,,Installation,,,,,,,,,
