DOI,Link
2207.03336,https://github.com/aig-upf/tarski
2206.01822,https://github.com/pellierd/pddl4j
2208.06555,https://github.com/fivosts/BenchPress
2206.05421,https://github.com/cmu-phil/causal-learn
2201.09222,https://github.com/delas/OnlineSoftConformance
2205.14753,https://github.com/chuffed/chuffed
2202.05793,https://github.com/potassco/plasp
2212.03178,https://github.com/BioinformaticsIASBS/LCS-DSclassification
2209.10656,https://github.com/rlworkgroup/garage
2211.13469,https://github.com/LHRLAB/NQE
2212.00443,https://github.com/KanghoonYoon/hetsgg-torch
2210.08809,https://github.com/yjw1029/DeepQSE
2204.00747,https://github.com/DataScienceLab18/IndoorToolKit
2208.05438,https://github.com/HongyangDu/AttentionQoE
2202.12003,https://github.com/radum2275/merlin
2202.11333,https://github.com/neurosynth/neurosynth
2211.15864,https://github.com/gpoesia/peano
2204.07203,github.com/pnnl/expert
2203.01146,https://github.com/Question406/LearningToFocus.3
2211.14673,https://github.com/jzf2101/alphatology
2207.03206,https://github.com/logpai/deep-loglizer
2206.11831,https://github.com/aseembits93/attainable-utility-preservation
2209.00917,github.com/gglorian/Nacre1
2202.12566,https://github.com/peschue/ai4eu-sudoku
2210.08713,https://github.com/caskcsg/SPCL
2207.00719,https://github.com/LemonQC/KG2Text
2206.11812,https://github.com/aseembits93/attainable-utility-preservation
2205.11005,https://github.com/alibaba/AliceMind
2209.13160,https://github.com/sisl/action_suggestions
2211.17199,https://github.com/yohayt/Resource-Sharing-Through-Multi-Round-Matchings
2211.03950,https://github.com/feiwangyuzhou/TernaryCL
2202.03057,http://github.com/google/jax
2205.01290,https://github.com/jayetri/DrugEHRQA-A-Question-Answering-Dataset-on-Structured-and-Unstructured-Electronic-Health-Records
2207.08379,https://github.com/Inspector-GameTesting/Inspector-GameTesting
2209.02646,https://github.com/chq1155/A-Survey-on-Generative-Diffusion-Model
2207.14119,https://github.com/ckindermann/iswc-2022
2205.13728,https://github.com/caoysh/GALOIS
2212.11214,https://github.com/creapar/crowdscore
2211.10085,https://github.com/KMY-SEU/HCE
2208.12523,https://github.com/HumanBehaviourChangeProject/semantic-prediction
2201.10453,https://github.com/almeidawarley/tsp-competition
2208.09137,https://github.com/yunchengwang/GreenKGC
2203.13599,https://github.com/GuillermoPuebla/rrl
2206.01240,https://github.com/markopalangetic/FGAC_experiments
2208.04153,https://github.com/omron-sinicx/planning-datasets
2204.10420,https://github.com/ryangpeixu/pg3
2203.03344,https://github.com/koulanurag/ma-gym
2206.12142,https://github.com/Lion-ZS/ER
2209.04355,https://github.com/thuiar/MIntRec
2204.06355,https://github.com/joonleesky/train-procgen-pytorch
2209.02157,https://github.com/qwerasdfzxcv852/demo-Lepus
2201.11580,https://github.com/AI-Decision/DecisionHoldem
2205.09729,https://github.com/echalmers/modulated_td_error
2205.01331,https://github.com/pbellot/graphyp
2203.00669,https://github.com/maximecb/gym-minigrid
2212.06564,https://github.com/Sergey-Zeltyn/MIP-dataset
2205.11234,https://github.com/IyarLin/simMixedDAG
2207.12252,https://github.com/hsu-aut/lion
2201.06401,https://github.com/Ludeme/Ludii
2204.04918,https://github.com/guochengqian/TNAS
2205.15141,https://github.com/ryoryon66/TAAM
2209.04911,https://github.com/MasterMilkX/KekeCompetition
2201.05910,https://github.com/mana-ysh/knowledge-graph-embeddings
2207.03270,https://github.com/hill-a/stable-baselines
2202.07919,https://github.com/anrep/HousE
2211.05939,https://github.com/ataitler/pyRDDLGym
2203.12969,https://github.com/gyunamister/impacta
2203.12817,https://github.com/Cranial-XIX/Continual-Learning-Private-Unlearning
2212.00543,https://github.com/Nanfeizhilu/FGS
2210.08153,https://github.com/NagisaZj/CUP
2207.12166,https://github.com/amrisi/amr-guidelines
2206.11017,https://github.com/jalaliamin/ResearchCode
2202.07553,https://github.com/ML-KULeuven/LearnSDD
2205.13646,https://github.com/balabit/Mouse-Dynamics-Challenge
2204.04301,https://github.com/AAIR-lab/GRAPL
2210.12026,https://github.com/owlcs/pizza-ontology
2208.10327,https://github.com/pablovin/ChefsHatGYM
2204.01611,https://github.com/tae898/explicit-memory
2206.07497,https://github.com/TeodorChiaburu/beexplainable
2212.11517,https://github.com/fhtanaka/SGR
2205.04850,https://github.com/aig-upf/pgp-landmarks
2202.13196,https://github.com/sh0416/clrcmd
2205.02328,https://github.com/Dtradke/Teams_IPD
2207.10330,https://github.com/rte-france/grid2viz
2202.03888,https://github.com/mohitKULeuven/HassleWithLocalSearch
2209.02427,https://github.com/Aman-4-Real/MMTG
2204.12190,https://github.com/zyr17/UniLight
2203.02150,https://github.com/soledad921/TEA-GNN
2204.14116,https://github.com/bprovanbessell/SATfeatPy
2204.02929,https://github.com/snlemons/search
2204.06908,https://github.com/vOptSolver/vOptLib
2206.06629,https://github.com/Hangwei12358/cross-person-HAR
2208.06377,https://github.com/AlessandroGianola/SMT-based-Data-Aware-Processes-Verification
2212.10723,https://github.com/mahdiabolghasemi/IEEE-predict
2203.00905,https://github.com/Oschart/FLoBC
2212.08817,https://github.com/snudatalab/Acorn
2210.10374,https://github.com/Thinklab-SJTU/UniversePartialMatching
2211.16011,https://github.com/JHL-HUST/BandHS
2209.12619,https://github.com/CamDavidsonPilon/lifetimes
2206.11515,https://github.com/potassco/plingo
2209.12398,https://github.com/kenluck2001/anomalyMulti
2202.02698,https://github.com/alibaba/tgin
2203.07993,https://github.com/BorealisAI/de-simple
2210.14640,https://gitlab.com/aureliendelage1/hsviforzsposgs
2205.05030,https://github.com/eadietz/bst2asp
2204.13329,https://gitlab.com/medicalvalues-public/mvrdf2vec
2212.09077,https://github.com/potassco/clingo-dl
2205.02923,https://github.com/Shereen-Elsayed/ImgRec
2203.11912,https://github.com/leandrocouto/sketch-learning
2209.09491,https://github.com/aiwc/test_
2205.03219,https://github.com/avani17101/go-nba
2211.15324,https://github.com/CodingPerson/PEARL
2202.02519,https://github.com/salesforce/ICLRec
2202.04427,https://github.com/sgzZ123/GRE
2204.02360,https://github.com/joyjitchatterjee/ScientometricReview-AI
2206.08687,https://github.com/rballester/yodo
2208.01093,https://github.com/drugs4covid/EBOCA-Resources
2202.13750,https://github.com/HibaArnaout/usefulnegations
2211.15349,https://github.com/xbrlej/FiPOMDP
2204.04686,https://github.com/Tiiiger/bert_score
2209.09066,https://github.com/alpha-asp/Alpha
2202.01356,https://github.com/DirectMolecularConfGen/DMCG
2202.04611,https://github.com/ospur/htn-tm
2212.09033,https://github.com/Ericonaldo/ILSwiss
2209.05090,https://github.com/leoprover/tptp-utils
2205.05228,https://github.com/sk5050/HCSSP
2210.12080,https://github.com/gyunamister/ProPPa
2212.02951,https://github.com/SUSTechGameAI/MFEDRL
2206.11539,https://github.com/itayhubara/BinaryNet.pytorch
2204.08687,https://github.com/huggingface/transformers
2212.01022,https://github.com/iitkcpslab/rlstl
